annual_income_k,spending_score,cluster,persona
34.0,82.9,1,Budget
28.9,84.5,1,Budget
35.2,88.7,1,Budget
42.2,88.4,1,Budget
28.1,69.0,1,Budget
28.1,72.5,1,Budget
42.6,84.1,1,Budget
36.1,84.1,1,Budget
26.2,84.1,1,Budget
34.3,100.0,1,Budget
26.3,84.6,1,Budget
26.3,89.1,1,Budget
31.9,87.6,1,Budget
15.0,85.2,1,Budget
16.2,77.5,1,Budget
25.5,86.1,1,Budget
21.9,73.8,1,Budget
32.5,78.1,1,Budget
22.7,76.1,1,Budget
18.7,80.7,1,Budget
41.7,98.5,1,Budget
28.2,65.1,1,Budget
30.5,85.5,1,Budget
18.6,67.1,1,Budget
25.6,76.2,1,Budget
30.9,88.7,1,Budget
20.8,80.5,1,Budget
33.0,71.4,1,Budget
25.2,74.3,1,Budget
27.7,85.4,1,Budget
25.2,74.2,1,Budget
44.8,81.7,1,Budget
29.9,80.4,1,Budget
21.5,74.8,1,Budget
36.6,97.2,1,Budget
20.2,85.1,1,Budget
31.7,63.8,1,Budget
15.0,81.5,1,Budget
19.4,74.7,1,Budget
31.6,86.8,1,Budget
35.9,73.7,1,Budget
31.4,79.1,1,Budget
29.1,84.0,1,Budget
27.6,86.9,1,Budget
18.2,70.4,1,Budget
24.2,77.3,1,Budget
26.3,76.2,1,Budget
38.5,74.8,1,Budget
32.7,94.1,1,Budget
15.9,83.2,1,Budget
32.6,69.9,1,Budget
26.9,87.3,1,Budget
24.6,97.0,1,Budget
34.9,88.3,1,Budget
38.2,67.8,1,Budget
37.5,76.1,1,Budget
23.3,90.1,1,Budget
27.5,74.3,1,Budget
32.7,83.6,1,Budget
37.8,86.2,1,Budget
26.2,72.6,1,Budget
28.5,79.5,1,Budget
21.1,54.1,1,Budget
20.4,71.8,1,Budget
36.5,78.0,1,Budget
40.8,70.0,1,Budget
29.4,93.1,1,Budget
38.0,68.6,1,Budget
32.9,76.5,1,Budget
24.8,81.0,1,Budget
32.9,91.5,1,Budget
42.3,68.5,1,Budget
29.7,89.3,1,Budget
42.5,80.1,1,Budget
15.0,72.1,1,Budget
36.6,83.7,1,Budget
30.7,81.6,1,Budget
27.6,75.2,1,Budget
30.7,80.6,1,Budget
15.0,76.9,1,Budget
28.2,80.9,1,Budget
32.9,85.3,1,Budget
41.8,92.7,1,Budget
25.9,70.1,1,Budget
23.5,97.1,1,Budget
26.0,64.4,1,Budget
37.3,78.8,1,Budget
32.6,84.7,1,Budget
25.8,82.2,1,Budget
34.1,75.0,1,Budget
30.8,78.3,1,Budget
37.7,76.1,1,Budget
24.4,75.3,1,Budget
27.4,86.8,1,Budget
26.9,82.9,1,Budget
18.3,74.5,1,Budget
